id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm65789,Sunset Boulevard,MOVIE,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950,PG,110,['drama'],['US'],,tt0043014,8.4,224704.0,18.431,8.366
tm83884,His Girl Friday,MOVIE,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancé, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee.",1940,,92,"['drama', 'romance', 'comedy']",['US'],,tt0032599,7.8,60244.0,14.759,7.433
tm5012,Red River,MOVIE,"Headstrong Thomas Dunson starts a thriving Texas cattle ranch with the help of his faithful trail hand, Groot, and his protégé, Matthew Garth, an orphan Dunson took under his wing when Matt was a boy. In need of money following the Civil War, Dunson and Matt lead a cattle drive to Missouri, where they will get a better price than locally, but the crotchety older man and his willful young partner begin to butt heads on the exhausting journey.",1948,,133,"['western', 'drama', 'romance', 'action']",['US'],,tt0040724,7.8,32210.0,12.4,7.4
tm19248,The General,MOVIE,"During America’s Civil War, Union spies steal engineer Johnnie Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",1926,,79,"['comedy', 'drama', 'action', 'war', 'western', 'european']",['US'],,tt0017925,8.1,92935.0,12.316,8.009
tm122846,The Kid,MOVIE,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,1921,,68,"['comedy', 'drama', 'family']",['US'],,tt0012349,8.3,128096.0,14.865,8.212
tm100333,Broken Blossoms,MOVIE,The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.,1919,PG-13,89,"['drama', 'romance']",['US'],,tt0009968,7.2,10635.0,10.717,6.9
tm19424,Detour,MOVIE,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",1946,,66,"['drama', 'thriller', 'crime']",['US'],,tt0037638,7.3,18222.0,8.861,7.226
tm18385,Scarlet Street,MOVIE,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",1945,,103,"['drama', 'thriller', 'crime']",['US'],,tt0038057,7.8,17636.0,9.998,7.6
tm2838,The Most Dangerous Game,MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,PG-13,63,"['action', 'thriller', 'horror']",['US'],,tt0023238,7.1,12996.0,10.078,7.0
tm127199,Orphans of the Storm,MOVIE,"France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path.",1922,,150,"['drama', 'history', 'romance']",['US'],,tt0242584,7.3,5279.0,3.824,6.956
tm67370,Rio Grande,MOVIE,"Lt. Col. Kirby Yorke is posted on the Texas frontier to defend settlers against depredations of marauding Apaches. Col. Yorke is under considerable stress by a serious shortage of troops of his command. Tension is added when Yorke's son (whom he hasn't seen in fifteen years), Trooper Jeff Yorke, is one of 18 recruits sent to the regiment.",1950,,105,"['western', 'romance']",['US'],,tt0042895,7.0,16720.0,11.186,6.897
tm264908,Murder on Lenox Avenue,MOVIE,"Dramatic events in a Harlem apartment house center around Pa Wilkins, chosen by the Better Business League to replace their ousted, crooked leader Marshall...who wants revenge; and Pa's ward Jim Bracton, a two-timing Romeo whose affairs are coming to a crisis. And hanging around is Marshall's murderous junkie henchman, Lomax. Will it all end in someone's being killed?",1941,,65,['drama'],['US'],,tt0033929,5.0,80.0,0.6,
tm85417,Penny Serenade,MOVIE,"While listening to a recording of Penny Serenade, Julie Gardiner Adams begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams, which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose.",1941,,120,"['romance', 'drama']",['US'],,tt0034012,7.1,7511.0,7.267,6.7
tm78387,That Uncertain Feeling,MOVIE,A happily married woman sees a psychoanalyst and develops doubts about her husband.,1941,,84,['comedy'],['US'],,tt0034274,6.6,2800.0,5.181,6.528
tm137796,The Kennel Murder Case,MOVIE,"Philo Vance, accompanied by his prize-losing Scottish terrier, investigates the locked-room murder of a prominent and much-hated collector whose broken Chinese vase provides an important clue.",1933,,73,"['thriller', 'crime', 'drama']",['US'],,tt0024210,6.9,3686.0,4.242,6.2
tm1227,'Neath Brooklyn Bridge,MOVIE,"The East Side Kids find a young girl in the apartment of a man who has just been murdered. Believing her to be innocent, they hide her in their clubhouse while they try to find the real killer. The killer, however, used a baseball bat as his murder weapon, and the bat has the fingerprints of one of the gang on it.",1942,,61,"['comedy', 'drama', 'romance', 'war']",['US'],,tt0034420,5.9,680.0,0.951,6.9
tm4919,The Monster Maker,MOVIE,"Mad scientist injects his enemies with acromegaly virus, causing them to become hideously deformed.",1944,,62,"['horror', 'scifi']",['US'],,tt0037084,4.8,1166.0,1.854,5.147
tm110888,This Is the Army,MOVIE,"In WW I dancer Jerry Jones stages an all-soldier show on Broadway, called Yip Yip Yaphank. Wounded in the War, he becomes a producer. In WW II his son Johnny Jones, who was before his fathers assistant, gets the order to stage a knew all-soldier show, called THIS IS THE ARMY. But in his pesonal life he has problems, because he refuses to marry his fiancée until the war is over.",1943,,121,"['comedy', 'romance', 'war']",['US'],,tt0036430,5.8,1213.0,2.775,5.941
tm119274,The Outlaw,MOVIE,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot.",1943,,116,['western'],['US'],,,,,9.658,5.5
tm164354,Texas Terror,MOVIE,Sheriff John Higgins quits and goes into prospecting after he thinks he has killed his best friend in shooting it out with robbers. He encounters his dead buddy's sister and helps her run her ranch. Then she finds out about his past.,1935,,50,"['western', 'action', 'drama']",['US'],,tt0027087,5.1,1009.0,4.375,4.8
tm6408,Bird of Paradise,MOVIE,"When a young South Seas sailor falls overboard, the beautiful daughter of a Polynesian king dives in and saves his life. Thus begins the romance of Johnny and Luana. Though Luana is promised to another man, Johnny whisks her away, and for a brief time the lovers live very happily together. But, when a local volcano threatens their lives, Luana knows that she must sacrifice herself to the volcanic gods in order to save her island.",1932,,82,"['romance', 'drama']",['US'],,tt0022689,6.0,1433.0,3.779,5.0
tm997,The Admiral Was a Lady,MOVIE,"Ex-WAVE encounters four fun-loving, work-hating men, all of whom want to marry her.",1950,G,87,"['comedy', 'romance']",['US'],,tt0042182,5.8,378.0,1.433,6.1
tm7905,Gangster's Boy,MOVIE,A popular high school valedictorian and star athlete becomes a pariah when it's discovered that his father is a former bootlegger.,1938,,80,"['drama', 'romance', 'action', 'music']",['US'],,tt0030170,6.0,99.0,0.932,
tm82402,The Devil Bat,MOVIE,"Dr. Paul Carruthers feels bitter at being betrayed by his employers, Heath and Morton, when they became rich as a result of a product he devised. He gains revenge by electrically enlarging bats and sending them out to kill his employers' family members by instilling in the bats a hatred for a particular perfume he has discovered, which he gets his victims to apply before going outdoors. Johnny Layton, a reporter, finally figures out Carruthers is the killer and, after putting the perfume on himself, douses it on Carruthers in the hopes it will get him to give himself away. One of the two is attacked as the giant bat makes one of its screaming, swooping power dives.",1940,,68,"['horror', 'scifi']",['US'],,tt0032390,5.4,3221.0,5.635,5.4
tm88502,Life with Father,MOVIE,A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.,1947,,118,"['comedy', 'family']",['US'],,tt0039566,7.1,5884.0,5.413,6.5
tm116534,Why We Fight: The Battle of Russia,MOVIE,"The fifth film of Frank Capra's Why We Fight propaganda film series, revealing the nature and process of the fight between the Soviet Union and Germany in the Second World War.",1943,,83,"['documentation', 'war', 'history']",['US'],,tt11091606,7.1,1521.0,3.286,6.729
tm131498,Ella Cinders,MOVIE,"Poor Ella Cinders is much abused by her evil step-mother and step-sisters. When she wins a local beauty contest she jumps at the chance to get out of her dead-end life and go to Hollywood, where she is promised a job in the movies. When she arrives in Hollywood, she discovers that the contest was a scam and the job non-existent. But through pluck, luck, and talent, she makes it in the movies anyway, and finds true love.",1924,,52,"['comedy', 'romance', 'music']",['US'],,tt0014704,7.0,1048.0,1.27,7.0
tm84154,Meet John Doe,MOVIE,"As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed ""John Doe,"" who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate ""Doe."" Ann and her bosses cynically milk the story for all it's worth, until the made-up ""John Doe"" philosophy starts a whole political movement.",1941,,122,"['romance', 'drama', 'comedy']",['US'],,tt0033891,7.6,14035.0,7.681,7.328
tm138416,The Private Life of Henry VIII,MOVIE,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933,,90,"['comedy', 'drama', 'romance', 'history']",['GB'],,tt0024473,7.0,4528.0,3.802,6.407
tm56594,The Jackie Robinson Story,MOVIE,"Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.",1950,,76,"['drama', 'sport']",['US'],,tt0042609,6.3,1339.0,3.778,6.375
tm75528,Tarzan of the Apes,MOVIE,"A female ape takes to mothering the orphaned boy (Tarzan) and raises him over the course of many years until a rescue mission is finally launched and the search party combs the jungle for the long-time missing Lord Greystoke. But then, one of the search members, Jane Porter, gets separated from the group and comes face to face with fearsome wild animals. Tarzan saves her from harm just in the knick of time and love begins to blossom.",1918,,60,['action'],['US'],,tt0009682,5.7,870.0,1.495,5.167
tm264738,Target for Today,MOVIE,"A bombing mission over Germany by the American Eighth Air Force, from the initial planning for the mission through final completion, with all of its intricacies from beginning to end.",1944,,90,"['documentation', 'history', 'war']",['US'],,tt0250024,7.2,71.0,0.84,5.0
tm22806,Intolerance: Love's Struggle Throughout the Ages,MOVIE,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",1916,,197,"['drama', 'history']",['US'],,tt0006864,7.7,15242.0,8.466,7.21
tm5458,I Walk Alone,MOVIE,"Bootleggers on the lamb Frankie and Noll split up to evade capture by the police. Frankie is caught and jailed, but Noll manages to escape and open a posh New York City nightclub. 14 years later, Frankie is released from the clink and visits Noll with the intention of collecting his half of the nightclub's profits. But Noll, who has no intention of being so equitable, uses his ex-girlfriend Kay to divert Frankie from his intended goal.",1948,,97,"['thriller', 'crime', 'drama']",['US'],,tt0039482,7.0,3035.0,6.336,6.606
tm84810,Till the Clouds Roll By,MOVIE,"Light bio-pic of American Broadway pioneer Jerome Kern, featuring renditions of the famous songs from his musical plays by contemporary stage artists, including a condensed production of his most famous: 'Showboat'.",1947,,95,['music'],['US'],,tt0039035,6.3,2532.0,4.322,5.5
tm165975,Rainbow Valley,MOVIE,John Martin is a government agent working under cover. Leading citizen Morgan calls in gunman Galt who blows Martin's cover.,1935,G,49,"['western', 'romance', 'action']",['US'],,tt0026908,5.3,704.0,3.165,4.8
tm64369,"Swing High, Swing Low",MOVIE,"In Panama, Maggie King meets soldier Skid Johnson on his last day in the army and reluctantly agrees to a date to celebrate. The two become involved in a nightclub brawl which causes Maggie to miss her ship back to the States. Now stranded, she's forced to move in with Skid and his pal Harry. She soon falls in love with Skid. Skid gets a job playing the trumpet at a local club and becomes a big success. Fame and fortune go to his head which eventually destroys his relationship Maggie and his career.",1937,,95,"['comedy', 'drama', 'romance']",['US'],,tt0029626,6.2,815.0,2.809,5.0
tm2209,A Study in Scarlet,MOVIE,"In London, a secret society led by lawyer Thaddeus Merrydew collects the assets of any of its deceased members and divides them among the remaining members. Society members start dropping like flies. Sherlock Holmes is approached by member James Murphy's widow, who is miffed at being left penniless by her husband. When Captain Pyke is shot, Holmes keys in on his mysterious Chinese widow as well as the shady Merrydew. Other members keep dying: Malcom Dearing first, then Mr. Baker. There is also an attempt on the life of young Eileen Forrester, who became a reluctant society member upon the death of her father. Holmes' uncanny observations and insights are put to the test.",1933,,72,['thriller'],['US'],,tt0024625,5.6,1097.0,2.387,5.425
tm53874,The Painted Desert,MOVIE,"Western pardners Jeff and Cash find a baby boy in an otherwise deserted emigrants' camp, and clash over which is to be ""father."" They are still bitterly feuding years later when they own adjacent ranches. Bill, the foundling whom Cash has raised to young manhood, wants to end the feud and extends an olive branch toward Jeff, who now has a lovely daughter. But during a mining venture, the bitterness escalates. Is Bill to be set against his own adoptive father?",1931,,79,['western'],['US'],,tt0022243,5.1,752.0,2.013,5.0
tm163136,Nurse Edith Cavell,MOVIE,"British nurse Edith Cavell is stationed at a hospital in Brussels during World War I. When the son of a former patient escapes from a German prisoner-of-war camp, she helps him flee to Holland. Outraged at the number of soldiers detained in the camps, Edith, along with a group of sympathizers, devises a plan to help the prisoners escape. As the group works to free the soldiers, Edith must keep her activities secret from the Germans",1944,,97,"['drama', 'war']",['US'],,tt0031737,6.5,365.0,1.714,6.4
tm69859,East Side Kids,MOVIE,"After living all his chilhood in the street, a young boy notices rapidly that crime doesn't pay and that´s why he decides to become a policeman. One day, one of his best friends go in prison for a murder he didn't commit. Immediately the policeman tries his best to release him and prove his innocence.",1940,,62,"['thriller', 'comedy', 'drama', 'romance']",['US'],,tt0032428,5.5,277.0,1.4,7.3
tm140761,The Lost World,MOVIE,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,1925,,106,"['drama', 'thriller', 'fantasy', 'scifi']",['US'],,tt0016039,7.0,5467.0,7.161,6.7
tm5661,White Zombie,MOVIE,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.",1932,,69,['horror'],['US'],,tt0023694,6.2,10983.0,7.751,5.862
tm106770,The Mark of Zorro,MOVIE,"Don Diego Vega pretends to be an indolent fop as a cover for his true identity, the masked avenger Zorro.",1920,,90,"['western', 'drama', 'romance']",['US'],,tt0011439,7.1,2616.0,4.992,7.264
tm101000,Our Daily Bread,MOVIE,"John and Mary Sims are city-dwellers hit hard by the financial fist of The Depression. Driven by bravery (and sheer desperation) they flee to the country and, with the help of other workers, set up a farming community - a socialist mini-society based upon the teachings of Edward Gallafent. The newborn community suffers many hardships - drought, vicious raccoons and the long arm of the law - but ultimately pull together to reach a bread-based Utopia.",1934,,80,"['romance', 'drama']",['US'],,tt0025610,7.0,2042.0,4.287,7.1
tm67142,The Inspector General,MOVIE,"An illiterate stooge in a traveling medicine show wanders into a strange town and is picked up on a vagrancy charge. The town's corrupt officials mistake him for the inspector general whom they think is traveling in disguise. Fearing he will discover they've been pocketing tax money, they make several bungled attempts to kill him.",1949,,102,"['comedy', 'romance']",['US'],,tt0041509,6.7,3423.0,6.541,6.476
tm88001,The Stranger,MOVIE,"An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi, who may be hiding out in a small town in the guise of a distinguished professor engaged to the Supreme Court Justice’s daughter.",1946,,95,"['drama', 'crime', 'thriller']",['US'],,tt0038991,7.3,27182.0,11.64,7.279
tm1856,A Romance of the Redwoods,MOVIE,A young girl travels west to live with her uncle during the California Gold Rush only to find that he has been killed by Indians and his identity assumed by an outlaw.,1917,,91,"['drama', 'romance', 'western', 'comedy', 'history']",['US'],,tt0008519,6.1,836.0,0.76,6.5
tm3541,"Steamboat Bill, Jr.",MOVIE,The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.,1928,,70,"['romance', 'drama', 'family', 'action', 'comedy']",['US'],,tt0019421,7.8,15138.0,8.195,7.644
tm90149,Smash-Up: The Story of a Woman,MOVIE,A nightclub singer uses alcohol in excess to sooth her painful life.,1947,,103,"['drama', 'crime', 'music', 'romance', 'comedy']",['US'],,tt0039840,6.3,1563.0,1.207,6.0
tm3703,A Strange Adventure,MOVIE,A police lieutenant and a female reporter investigate a series of murders committed by a hooded killer in an old dark house.,1932,,60,"['thriller', 'romance', 'crime', 'drama', 'music']",['US'],,tt0023520,5.2,205.0,0.877,
tm91499,Angel and the Badman,MOVIE,"Notorious shootist and womanizer Quirt Evans' horse collapses as he passes a Quaker family's home. Quirt has been wounded, and the kindly family takes him in to nurse him back to health against the advice of others. The handsome Evans quickly attracts the affections of their beautiful daughter, Penelope. He develops an affection for the family and their faith, but his troubled past follows him.",1947,,100,"['western', 'romance']",['US'],,tt0039152,6.8,6233.0,11.424,6.511
tm138425,My Lady of Whims,MOVIE,"Aspiring author Prudence ""Prue"" Severn leaves her staid home for the wild life in New York's artistic Greenwich Village community. Her concerned family hires two thrill-seeking ex-doughboys, bow-tied Bartley ""Bart"" Greer and his trigger-happy buddy Lee, to look after her and, hopefully, persuade her to come home. They move into Prue's apartment building, where she lives with a sculptress pal. Although interested in Bart, Prue senses he is being paid to watch over her-- so she decides to elope with the handsome Rolf.",1928,,59,"['drama', 'comedy']",['US'],,tt0017184,5.7,158.0,0.768,5.8
tm112752,Sherlock Holmes and the Secret Weapon,MOVIE,"In the midst of World War II, Sherlock Holmes rescues the Swiss inventor of a new bomb-sight from the Gestapo and brings him to England, where he shortly falls into the clutches of Professor Moriarty.",1943,,68,"['action', 'crime', 'thriller', 'drama']",['US'],,tt0035317,6.5,6178.0,8.504,6.3
tm4525,He Walked by Night,MOVIE,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.",1949,,78,"['drama', 'thriller', 'crime']",['US'],,tt0040427,7.1,6268.0,5.139,6.688
tm70223,Why We Fight: Prelude to War,MOVIE,"Prelude to War was the first film of Frank Capra's Why We Fight propaganda film series, commissioned by the Pentagon and George C. Marshall. It was made to convince American troops of the necessity of combating the Axis Powers during World War II. This film examines the differences between democratic and fascist states.",1942,,53,"['documentation', 'war']",['US'],,tt11089918,7.0,2289.0,4.638,6.6
